LOVABLE LINGERIE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 12.16 , 9.70 , 0.20 , 4.16 , 13.10 , 2.65 , 3.04 , 8.10 , (0.97), (1.47)
Cash from Investing Activity, (10.19), (1.61), (92.54), (15.42), (14.41), 3.60 , 30.95 , 1.75 , (10.70), 71.50 
Cash from Financing Activity, (2.22), (7.17), 103.98 , (0.09), 2.79 , (6.36), (35.01), (8.05), 9.09 , (66.17)
Net Cash Flow, (0.25), 0.92 , 11.64 , (11.35), 1.48 , (0.11), (1.02), 1.80 , (2.58), 3.87 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
