LUMAX AUTO TECHNOLOGIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 3.81 , 18.06 , 21.38 , 13.83 , 12.69 , 53.66 , 27.41 , 27.95 , 18.67 , 51.23 
Cash from Investing Activity, (2.77), (0.15), (22.92), (2.38), (44.21), (50.44), 0.23 , (9.67), (17.71), (13.59)
Cash from Financing Activity, (3.43), (14.63), 17.34 , (11.83), 14.90 , 2.08 , (27.43), (20.58), 3.80 , (42.07)
Net Cash Flow, (2.39), 3.28 , 15.80 , (0.38), (16.62), 5.30 , 0.20 , (2.29), 4.76 , (4.43)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
