LUPIN LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 2,899.15 "," 3,640.09 "," 4,494.88 "," 5,384.83 "," 7,121.83 "," 8,938.65 "," 9,752.47 "," 11,343.77 "," 12,626.20 "," 10,080.58 "," 11,356.32 "," 11,356.32 "," 10,206.53 "
Expenses," 2,389.09 "," 2,886.58 "," 3,526.67 "," 4,205.53 "," 5,223.93 "," 6,016.91 "," 6,375.76 "," 7,356.77 "," 8,134.54 "," 7,994.72 "," 8,674.65 "," 7,832.91 "," 7,796.37 "
Operating Profit, 510.06 , 753.51 , 968.21 ," 1,179.30 "," 1,897.90 "," 2,921.74 "," 3,376.71 "," 3,987.00 "," 4,491.66 "," 2,085.86 "," 2,681.67 "," 3,523.41 "," 2,410.16 "
Other Income, 69.19 , 65.10 , 7.32 , (13.95), 9.33 , 405.97 , 177.17 , 186.85 , 82.93 , 131.12 , 122.47 , -   , -   
Depreciation, 66.35 , 81.57 , 104.28 , 131.96 , 150.14 , 167.63 , 336.79 , 305.61 , 366.11 , 389.81 , 426.30 , 426.30 , 426.30 
Interest, 41.52 , 28.38 , 27.57 , 28.68 , 33.28 , 20.99 , 4.90 , 24.11 , 29.42 , 33.24 , 35.47 , 35.47 , 35.47 
Profit before tax, 471.38 , 708.66 , 843.68 ," 1,004.71 "," 1,723.81 "," 3,139.09 "," 3,212.19 "," 3,844.13 "," 4,179.06 "," 1,793.93 "," 2,342.37 "," 3,061.64 "," 1,948.39 "
Tax, 54.41 , 59.73 , 33.70 , 200.34 , 463.38 , 814.87 , 814.84 ," 1,013.26 "," 1,037.73 ", 449.27 , 803.54 ,34%,34%
Net profit, 416.97 , 648.93 , 809.98 , 804.37 ," 1,260.43 "," 2,324.22 "," 2,397.35 "," 2,830.87 "," 3,141.33 "," 1,344.66 "," 1,538.83 "," 2,011.36 "," 1,280.00 "
EPS, 10.07 , 14.59 , 18.15 , 18.01 , 28.16 , 51.84 , 53.34 , 62.83 , 69.56 , 29.74 , 34.01 , 44.45 , 28.29 
Price to earning, 13.62 , 22.53 , 22.89 , 30.40 , 23.25 , 18.67 , 35.28 , 24.41 , 20.26 , 26.73 , 21.87 , 23.32 , 21.87 
Price, 137.17 , 328.73 , 415.61 , 547.49 , 654.81 , 967.61 ," 1,881.49 "," 1,533.78 "," 1,409.22 ", 794.91 , 743.70 ," 1,036.42 ", 618.61 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,24.83%,18.50%,16.53%,17.77%,14.20%,11.58%,14.06%,11.94%,10.78%,16.81%,,,
OPM,17.59%,20.70%,21.54%,21.90%,26.65%,32.69%,34.62%,35.15%,35.57%,20.69%,23.61%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.85%,12.23%,7.20%,1.11%,12.66%,12.66%,1.11%
,,,,,,OPM,29.07%,30.56%,31.97%,31.03%,23.61%,31.03%,23.61%
,,,,,,Price to Earning, 23.63 , 25.11 , 24.53 , 23.32 , 21.87 , 23.32 , 21.87 
