LUX INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 5.30 , 5.30 , 5.30 , 5.30 , 5.30 , 5.30 , 5.30 , 5.30 , 5.30 , 5.30 
Reserves, 13.68 , 16.92 , 24.00 , 36.85 , 55.90 , 85.50 , 126.63 , 173.55 , 240.60 , 315.32 
Borrowings, 56.27 , 84.04 , 131.32 , 131.90 , 185.06 , 237.52 , 278.99 , 225.44 , 290.72 , 329.14 
Other Liabilities, 44.63 , 41.68 , 88.08 , 94.98 , 134.48 , 103.67 , 182.01 , 195.41 , 149.60 , 225.09 
Total, 119.88 , 147.94 , 248.70 , 269.03 , 380.74 , 431.99 , 592.93 , 599.70 , 686.22 , 874.85 
,,,,,,,,,,
Net Block, 7.79 , 8.41 , 21.18 , 20.38 , 27.00 , 31.75 , 37.38 , 37.30 , 114.07 , 129.13 
Capital Work in Progress, 0.66 , 6.73 , -   , -   , 17.58 , 20.44 , 52.63 , 72.37 , 11.38 , 5.31 
Investments, 0.20 , 0.25 , 0.25 , 0.25 , 0.25 , 0.25 , 0.08 , 0.08 , 0.75 , 0.85 
Other Assets, 111.23 , 132.55 , 227.27 , 248.40 , 335.91 , 379.55 , 502.84 , 489.95 , 560.02 , 739.56 
Total, 119.88 , 147.94 , 248.70 , 269.03 , 380.74 , 431.99 , 592.93 , 599.70 , 686.22 , 874.85 
,,,,,,,,,,
Working Capital, 66.60 , 90.87 , 139.19 , 153.42 , 201.43 , 275.88 , 320.83 , 294.54 , 410.42 , 514.47 
Debtors, 65.59 , 59.16 , 87.18 , 84.08 , 118.18 , 191.30 , 241.28 , 254.64 , 274.76 , 389.09 
Inventory, 20.73 , 54.71 , 90.70 , 99.93 , 193.06 , 147.83 , 188.88 , 200.15 , 232.75 , 299.18 
,,,,,,,,,,
Debtor Days, 82.00 , 64.66 , 61.13 , 56.05 , 62.35 , 80.20 , 96.89 , 98.78 , 104.69 , 124.82 
Inventory Turnover, 14.08 , 6.10 , 5.74 , 5.48 , 3.58 , 5.89 , 4.81 , 4.70 , 4.12 , 3.80 
,,,,,,,,,,
Return on Equity,17%,20%,29%,34%,33%,35%,34%,29%,24%,25%
Return on Capital Emp,,13%,15%,17%,19%,22%,23%,22%,24%,25%
,,,,,,,,,,
