LYPSA GEMS & JEWELLERY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , 49.75 , (29.90), 1.48 , 7.93 , (3.46), 7.03 , 2.18 , (0.25)
Cash from Investing Activity, -   , -   , 19.66 , 11.01 , (1.65), (1.11), (1.28), (1.10), 0.41 , 0.18 
Cash from Financing Activity, -   , -   , (53.25), -   , 3.38 , 1.75 , (5.96), (5.67), (8.45), (0.37)
Net Cash Flow, -   , -   , 16.16 , (18.89), 3.21 , 8.57 , (10.70), 0.26 , (5.86), (0.44)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
