MAGADH SUGAR & ENERGY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 0.05 , 0.05 , 10.07 , 10.07 
Reserves, -   , -   , -   , -   , -   , -   , -   , (0.02), 391.13 , 413.91 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , 462.46 , 518.96 
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   , 281.08 , 254.98 
Total, -   , -   , -   , -   , -   , -   , 0.05 , 0.03 ," 1,144.74 "," 1,197.92 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , 649.29 , 653.02 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 1.15 , 2.04 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , 0.01 
Other Assets, -   , -   , -   , -   , -   , -   , 0.05 , 0.03 , 494.29 , 542.85 
Total, -   , -   , -   , -   , -   , -   , 0.05 , 0.03 ," 1,144.74 "," 1,197.92 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , 0.05 , 0.03 , 213.21 , 287.87 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , 11.58 , 19.02 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , 426.80 , 454.00 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , 6.21 , 9.68 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , 1.60 , 1.58 
,,,,,,,,,,
Return on Equity,,,,,,,0%,-33%,14%,6%
Return on Capital Emp,,,,,,,0%,-25%,33%,6%
,,,,,,,,,,
