MAHARASHTRA SCOOTERS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 11.43 , 11.43 , 11.43 , 11.43 , 11.43 , 11.43 , 11.43 , 11.43 , 11.43 , 11.43 
Reserves, 188.03 , 189.12 , 198.89 , 191.07 , 213.17 , 227.34 , 240.83 , 300.56 ," 6,541.06 "," 8,213.84 "
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 23.07 , 22.58 , 27.88 , 37.23 , 57.98 , 61.52 , 66.07 , 25.35 , 20.32 , 18.24 
Total, 222.53 , 223.13 , 238.20 , 239.73 , 282.58 , 300.29 , 318.33 , 337.34 ," 6,572.81 "," 8,243.51 "
,,,,,,,,,,
Net Block, 10.05 , 9.08 , 8.16 , 7.21 , 7.32 , 7.36 , 4.38 , 7.18 , 7.05 , 12.53 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 191.32 , 198.15 , 213.97 , 205.60 , 223.13 , 260.42 , 271.14 , 280.37 ," 6,511.09 "," 8,196.11 "
Other Assets, 21.16 , 15.90 , 16.07 , 26.92 , 52.13 , 32.51 , 42.81 , 49.79 , 54.67 , 34.87 
Total, 222.53 , 223.13 , 238.20 , 239.73 , 282.58 , 300.29 , 318.33 , 337.34 ," 6,572.81 "," 8,243.51 "
,,,,,,,,,,
Working Capital, (1.91), (6.68), (11.81), (10.31), (5.85), (29.01), (23.26), 24.44 , 34.35 , 16.63 
Debtors, 0.49 , 0.90 , 1.29 , 1.59 , 2.53 , 1.30 , 2.60 , 2.44 , 2.21 , 3.45 
Inventory, 0.76 , 0.60 , 0.54 , 0.27 , 0.57 , 0.46 , 1.28 , 0.53 , 1.18 , 1.20 
,,,,,,,,,,
Debtor Days, 71.54 , 79.35 , 76.07 , 86.88 , 137.83 , 113.52 , 136.55 , 99.29 , 94.90 , 102.13 
Inventory Turnover, 3.29 , 6.90 , 11.46 , 24.74 , 11.75 , 9.09 , 5.43 , 16.92 , 7.20 , 10.28 
,,,,,,,,,,
Return on Equity,5%,4%,10%,-3%,22%,20%,22%,32%,0%,1%
Return on Capital Emp,,3%,10%,-3%,23%,21%,22%,36%,0%,1%
,,,,,,,,,,
