MAHA RASHTRA APEX CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 14.11 , 14.11 , 14.11 , 14.11 , 14.11 , 14.11 , 14.11 , 14.11 , 14.11 , 14.12 
Reserves, (86.84), (83.95), (85.12), (86.21), (86.93), (88.24), (88.64), (88.87), 19.12 , 71.06 
Borrowings, 158.00 , 140.25 , 4.60 , 0.91 , 1.79 , 2.69 , 8.68 , -   , 5.94 , 5.94 
Other Liabilities, 37.12 , 42.19 , 165.51 , 157.54 , 148.83 , 146.12 , 145.04 , 133.70 , 110.86 , 105.37 
Total, 122.39 , 112.60 , 99.10 , 86.35 , 77.80 , 74.68 , 79.19 , 58.94 , 150.03 , 196.49 
,,,,,,,,,,
Net Block, 4.96 , 4.51 , 3.90 , 2.83 , 1.59 , 1.47 , 1.30 , 1.27 , 1.47 , 1.45 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 30.49 , 29.54 , 26.20 , 26.55 , 25.94 , 25.98 , 25.98 , 26.13 , 141.23 , 190.44 
Other Assets, 86.94 , 78.55 , 69.00 , 56.97 , 50.27 , 47.23 , 51.91 , 31.54 , 7.33 , 4.60 
Total, 122.39 , 112.60 , 99.10 , 86.35 , 77.80 , 74.68 , 79.19 , 58.94 , 150.03 , 196.49 
,,,,,,,,,,
Working Capital, 49.82 , 36.36 , (96.51), (100.57), (98.56), (98.89), (93.13), (102.16), (103.53), (100.77)
Debtors, 9.08 , 10.70 , 23.30 , 11.06 , 9.62 , 9.02 , 8.07 , 5.43 , 0.34 , 0.11 
Inventory, 19.74 , 16.97 , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 684.75 , 304.40 ," 3,746.48 "," 1,834.95 "," 1,481.56 "," 2,513.21 "," 1,807.09 "," 1,785.54 ", 23.50 , 5.62 
Inventory Turnover, 0.25 , 0.76 , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,,,14%,5%
Return on Capital Emp,,26%,243%,,,,,,,9%
,,,,,,,,,,
