MAHINDRA CIE AUTOMOTIVE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Dec-15,Dec-16,Dec-17,Dec-18,Trailing,Best Case,Worst Case
Sales, 300.28 , 356.08 , 431.89 , 439.78 , 386.00 ," 1,642.05 "," 1,330.90 "," 1,611.30 "," 1,960.70 "," 2,529.30 "," 2,560.58 "," 3,262.79 "," 3,140.40 "
Expenses, 254.57 , 325.30 , 391.19 , 373.08 , 333.59 ," 1,507.34 "," 1,229.78 "," 1,464.40 "," 1,764.50 "," 2,225.10 "," 2,249.98 "," 2,867.01 "," 2,834.77 "
Operating Profit, 45.71 , 30.78 , 40.70 , 66.70 , 52.41 , 134.71 , 101.12 , 146.90 , 196.20 , 304.20 , 310.60 , 395.78 , 305.63 
Other Income, (89.04), 2.77 , 1.50 , 4.08 , 6.45 , 19.94 , 5.91 , 11.60 , 5.30 , (98.80), (94.14), -   , -   
Depreciation, 21.51 , 22.10 , 23.91 , 27.44 , 28.29 , 68.87 , 53.83 , 71.00 , 75.90 , 73.90 , 72.87 , 72.87 , 72.87 
Interest, 29.87 , 14.63 , 11.51 , 5.80 , 3.81 , 15.51 , 3.26 , 8.60 , 10.80 , 8.20 , 7.19 , 7.19 , 7.19 
Profit before tax, (94.71), (3.18), 6.78 , 37.54 , 26.76 , 70.27 , 49.94 , 78.90 , 114.80 , 123.30 , 136.40 , 315.72 , 225.57 
Tax, 0.02 , -   , -   , (3.33), 8.79 , (7.40), 18.63 , 27.40 , 45.50 , 87.80 , 92.53 ,68%,68%
Net profit, (94.73), (3.18), 6.78 , 40.87 , 17.97 , 77.67 , 31.31 , 51.50 , 69.30 , 35.50 , 43.88 , 101.54 , 72.55 
EPS, (10.78), (0.36), 0.74 , 4.43 , 1.95 , 2.40 , 0.97 , 1.36 , 1.83 , 0.94 , 1.16 , 2.68 , 1.92 
Price to earning, (10.72), (197.95), 88.04 , 8.38 , 53.75 , 86.03 , 241.52 , 141.65 , 133.90 , 253.64 , 216.47 , 216.47 , 135.93 
Price, 115.60 , 71.64 , 64.76 , 37.17 , 104.61 , 206.89 , 233.87 , 192.94 , 245.25 , 237.72 , 250.75 , 580.27 , 260.34 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,15.22%,8.64%,9.42%,15.17%,13.58%,8.20%,7.60%,9.12%,10.01%,12.03%,12.13%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,26.72%,28.72%,45.64%,23.87%,29.00%,29.00%,23.87%
,,,,,,OPM,10.19%,10.12%,9.73%,10.61%,12.13%,12.13%,9.73%
,,,,,,Price to Earning, 135.93 , 141.92 , 178.87 , 186.41 , 216.47 , 216.47 , 135.93 
