MAHINDRA LIFESPACE DEVELOPERS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 165.40 , 320.65 , 476.56 , 468.95 , 351.52 , 307.07 , 624.01 , 502.11 , 680.55 , 475.00 , 486.03 , 486.03 , 432.75 
Expenses, 154.90 , 246.82 , 360.53 , 356.24 , 267.90 , 290.60 , 411.73 , 446.74 , 658.91 , 452.50 , 461.72 , 456.85 , 411.10 
Operating Profit, 10.50 , 73.83 , 116.03 , 112.71 , 83.62 , 16.47 , 212.28 , 55.37 , 21.64 , 22.50 , 24.31 , 29.18 , 21.64 
Other Income, 32.54 , 28.99 , 30.28 , 52.17 , 70.73 , 114.17 , 136.02 , 99.43 , 72.65 , 82.22 , 68.81 , -   , -   
Depreciation, (6.86), 2.31 , 2.50 , 2.68 , 1.77 , 2.32 , 2.74 , 3.96 , 4.34 , 3.96 , 3.06 , 3.06 , 3.06 
Interest, 0.06 , -   , 1.16 , 2.98 , 27.85 , 39.35 , 21.82 , 46.96 , 31.97 , 35.41 , 5.48 , 5.48 , 5.48 
Profit before tax, 57.77 , 107.50 , 149.37 , 167.55 , 135.88 , 101.39 , 337.71 , 116.57 , 70.56 , 78.93 , 84.58 , 20.64 , 13.10 
Tax, 11.41 , 28.12 , 46.32 , 47.39 , 38.39 , 23.67 , 104.41 , 38.29 , 21.61 , 25.81 , 25.99 ,31%,31%
Net profit, 46.36 , 79.38 , 103.05 , 120.16 , 97.49 , 77.73 , 233.30 , 78.28 , 48.94 , 53.12 , 58.59 , 14.30 , 9.08 
EPS, 11.35 , 19.43 , 25.21 , 29.39 , 23.85 , 19.01 , 56.83 , 19.06 , 11.91 , 10.34 , 11.41 , 2.78 , 1.77 
Price to earning, 14.10 , 22.93 , 14.56 , 10.28 , 15.18 , 18.82 , 7.99 , 21.54 , 34.54 , 43.59 , 36.33 , 36.33 , 21.81 
Price, 160.02 , 445.49 , 367.07 , 302.26 , 362.06 , 357.74 , 454.13 , 410.57 , 411.40 , 450.64 , 414.50 , 101.13 , 38.55 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,22.00%,17.99%,19.82%,20.39%,25.13%,31.53%,21.09%,31.45%,50.33%,57.98%,,,
OPM,6.35%,23.03%,24.35%,24.03%,23.79%,5.36%,34.02%,11.03%,3.18%,4.74%,5.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.44%,-0.05%,6.21%,-8.69%,2.32%,2.32%,-8.69%
,,,,,,OPM,16.58%,15.39%,12.68%,6.00%,5.00%,6.00%,5.00%
,,,,,,Price to Earning, 21.81 , 23.53 , 27.14 , 34.00 , 36.33 , 36.33 , 21.81 
