MAHINDRA LOGISTICS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   ," 1,883.02 "," 1,994.96 "," 2,588.69 "," 3,220.11 "," 3,665.51 "," 4,005.54 "," 3,937.95 "
Expenses, -   , -   , -   , -   , -   , -   ," 1,823.64 "," 1,943.68 "," 2,520.69 "," 3,114.22 "," 3,527.61 "," 3,854.85 "," 3,824.33 "
Operating Profit, -   , -   , -   , -   , -   , -   , 59.38 , 51.28 , 68.00 , 105.89 , 137.90 , 150.69 , 113.63 
Other Income, -   , -   , -   , -   , -   , -   , 7.85 , 12.83 , 8.85 , 4.67 , 7.27 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 5.96 , 6.48 , 8.91 , 12.85 , 14.69 , 14.69 , 14.69 
Interest, -   , -   , -   , -   , -   , -   , 0.16 , 0.15 , 0.26 , 0.31 , 0.16 , 0.16 , 0.16 
Profit before tax, -   , -   , -   , -   , -   , -   , 61.11 , 57.49 , 67.68 , 97.40 , 130.32 , 135.84 , 98.78 
Tax, -   , -   , -   , -   , -   , -   , 20.73 , 20.09 , 22.88 , 35.21 , 45.88 ,35%,35%
Net profit, -   , -   , -   , -   , -   , -   , 40.38 , 37.40 , 44.80 , 62.19 , 84.44 , 88.02 , 64.00 
EPS, -   , -   , -   , -   , -   , -   , 6.59 , 6.10 , 6.45 , 8.74 , 11.82 , 12.32 , 8.96 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 56.00 , 43.59 , 49.80 , 43.59 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 489.56 , 515.15 , 613.45 , 390.46 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17.16%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.15%,2.57%,2.63%,3.29%,3.76%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,19.58%,24.39%,24.39%,19.58%
,,,,,,OPM,2.94%,2.94%,2.94%,2.89%,3.76%,3.76%,2.89%
,,,,,,Price to Earning, 49.80 , 49.80 , 49.80 , 49.80 , 43.59 , 49.80 , 43.59 
