MAITHAN ALLOYS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 643.21 , 476.84 , 605.12 , 636.10 , 853.69 , 811.14 , 881.74 ," 1,146.35 "," 1,336.59 "," 1,873.46 "," 1,987.93 "," 2,625.98 "," 2,124.19 "
Expenses, 625.87 , 420.93 , 496.81 , 568.23 , 790.16 , 772.19 , 811.19 ," 1,015.12 "," 1,057.75 "," 1,490.04 "," 1,665.64 "," 2,147.67 "," 1,845.39 "
Operating Profit, 17.34 , 55.91 , 108.31 , 67.87 , 63.53 , 38.95 , 70.55 , 131.23 , 278.84 , 383.42 , 322.29 , 478.30 , 278.80 
Other Income, 9.59 , 15.17 , 7.39 , 5.97 , 4.44 , 2.04 , 3.06 , 3.97 , 8.17 , 15.55 , 26.07 , -   , -   
Depreciation, 6.45 , 11.98 , 10.21 , 7.29 , 6.54 , 5.82 , 3.38 , 23.29 , 25.32 , 15.44 , 15.62 , 15.62 , 15.62 
Interest, 19.49 , 15.15 , 9.00 , 4.34 , 7.40 , 6.11 , 6.16 , 16.53 , 12.35 , 7.82 , 5.90 , 5.90 , 5.90 
Profit before tax, 0.99 , 43.95 , 96.49 , 62.21 , 54.43 , 29.40 , 64.24 , 95.73 , 249.91 , 375.91 , 326.84 , 456.78 , 257.28 
Tax, 0.85 , 13.71 , 23.66 , 15.16 , 10.72 , 6.42 , 12.71 , 16.70 , 64.24 , 84.16 , 71.56 ,22%,22%
Net profit, 0.14 , 30.24 , 72.83 , 47.05 , 43.70 , 22.98 , 51.53 , 79.03 , 185.67 , 291.75 , 255.26 , 356.77 , 200.95 
EPS, 0.10 , 20.76 , 50.01 , 32.31 , 30.01 , 15.78 , 35.38 , 27.15 , 63.78 , 100.22 , 87.68 , 122.55 , 69.03 
Price to earning, 286.02 , 2.93 , 1.41 , 1.44 , 1.31 , 2.18 , 2.89 , 5.67 , 7.07 , 8.54 , 6.90 , 7.05 , 4.50 
Price, 27.50 , 60.88 , 70.38 , 46.41 , 39.23 , 34.43 , 102.29 , 153.94 , 451.18 , 855.99 , 605.15 , 863.62 , 310.67 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,692.86%,3.21%,4.00%,6.18%,6.66%,12.66%,5.65%,7.36%,3.92%,2.99%,,,
OPM,2.70%,11.73%,17.90%,10.67%,7.44%,4.80%,8.00%,11.45%,20.86%,20.47%,16.21%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.61%,17.52%,17.02%,28.56%,40.17%,40.17%,12.61%
,,,,,,OPM,13.13%,13.72%,14.93%,18.21%,16.21%,18.21%,13.13%
,,,,,,Price to Earning, 29.67 , 4.50 , 5.54 , 7.05 , 6.90 , 7.05 , 4.50 
