MAJESCO LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , 12.42 , 15.60 , 19.99 , 14.80 , 25.62 , 24.15 
Expenses, -   , -   , -   , -   , -   , -   , 0.03 , 18.97 , 27.04 , 26.97 , 24.53 , 25.62 , 24.15 
Operating Profit, -   , -   , -   , -   , -   , -   , (0.03), (6.55), (11.44), (6.98), (9.73), -   , -   
Other Income, -   , -   , -   , -   , -   , -   , -   , 15.15 , 13.97 , 29.21 , 28.35 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 0.23 , 0.81 , 1.10 , 1.05 , 1.05 , 1.05 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , 0.84 , 0.28 , 0.27 , 0.27 , 0.27 
Profit before tax, -   , -   , -   , -   , -   , -   , (0.03), 8.35 , 0.88 , 20.85 , 17.30 , (1.32), (1.32)
Tax, -   , -   , -   , -   , -   , -   , -   , 2.13 , (0.40), 6.50 , 5.12 ,30%,30%
Net profit, -   , -   , -   , -   , -   , -   , (0.03), 6.21 , 1.28 , 14.35 , 12.18 , (0.93), (0.93)
EPS, -   , -   , -   , -   , -   , -   , (3.00), 2.69 , 0.55 , 5.10 , 4.29 , (0.33), (0.33)
Price to earning,  ,  ,  ,  ,  ,  ,  , 220.71 , 676.75 , 101.83 , 121.38 , 280.17 , 121.38 
Price, -   , -   , -   , -   , -   , -   , -   , 594.57 , 370.78 , 519.61 , 520.70 , (91.70), (39.73)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,28.14%,28.14%,28.14%
,,,,,,OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 280.17 , 280.17 , 280.17 , 280.17 , 121.38 , 280.17 , 121.38 
