MAN INDUSTRIES (INDIA) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,858.88 "," 1,473.70 "," 1,588.26 "," 1,701.70 "," 1,461.82 "," 1,005.29 "," 1,364.02 "," 1,391.68 "," 1,060.49 "," 1,572.38 "," 2,440.03 "," 2,440.03 "," 1,527.42 "
Expenses," 1,731.84 "," 1,349.95 "," 1,504.63 "," 1,514.13 "," 1,264.29 ", 950.29 ," 1,249.21 "," 1,273.95 "," 1,014.88 "," 1,449.85 "," 2,210.10 "," 2,210.10 "," 1,418.92 "
Operating Profit, 127.04 , 123.75 , 83.63 , 187.57 , 197.53 , 55.00 , 114.81 , 117.73 , 45.61 , 122.53 , 229.93 , 229.93 , 108.49 
Other Income, 24.05 , 50.60 , 86.05 , 28.87 , 27.48 , 30.80 , 37.51 , 68.69 , 74.14 , 54.23 , 7.17 , -   , -   
Depreciation, 34.99 , 36.82 , 40.40 , 40.15 , 38.75 , 31.77 , 42.45 , 37.08 , 40.07 , 39.20 , 43.81 , 43.81 , 43.81 
Interest, 44.95 , 36.98 , 30.00 , 26.96 , 44.13 , 41.76 , 45.73 , 56.48 , 36.30 , 43.02 , 65.65 , 65.65 , 65.65 
Profit before tax, 71.15 , 100.55 , 99.28 , 149.32 , 142.14 , 12.27 , 64.14 , 92.86 , 43.39 , 94.54 , 127.64 , 120.47 , (0.97)
Tax, 23.72 , 33.46 , 7.32 , 47.32 , 41.39 , 3.37 , 10.59 , 6.87 , 10.74 , 31.68 , 45.42 ,36%,36%
Net profit, 47.43 , 67.09 , 91.96 , 102.00 , 100.74 , 8.90 , 53.56 , 85.99 , 32.65 , 62.86 , 82.22 , 77.60 , (0.62)
EPS, 8.90 , 12.53 , 16.63 , 18.45 , 16.86 , 1.56 , 9.38 , 15.06 , 5.72 , 11.01 , 14.40 , 13.59 , (0.11)
Price to earning, 3.37 , 5.76 , 4.36 , 5.52 , 6.06 , 41.69 , 6.03 , 4.55 , 8.20 , 12.35 , 4.66 , 7.44 , 4.66 
Price, 30.02 , 72.14 , 72.54 , 101.93 , 102.09 , 64.97 , 56.52 , 68.49 , 46.91 , 135.92 , 67.15 , 101.12 , (0.51)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,16.85%,13.97%,12.03%,10.84%,11.86%,64.16%,15.98%,9.95%,26.22%,13.62%,,,
OPM,6.83%,8.40%,5.27%,11.02%,13.51%,5.47%,8.42%,8.46%,4.30%,7.79%,9.42%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-1.84%,-0.14%,1.47%,4.85%,55.18%,55.18%,-1.84%
,,,,,,OPM,8.12%,8.80%,7.13%,7.10%,9.42%,9.42%,7.10%
,,,,,,Price to Earning, 9.32 , 11.13 , 12.91 , 7.44 , 4.66 , 7.44 , 4.66 
