MAN INFRACONSTRUCTION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 29.25 , 49.50 , 49.50 , 49.50 , 49.50 , 49.50 , 49.50 , 49.50 , 49.50 , 49.50 
Reserves, 233.02 , 398.97 , 445.75 , 487.41 , 518.82 , 539.03 , 581.29 , 573.77 , 633.70 , 678.48 
Borrowings, -   , -   , -   , -   , 15.91 , 7.23 , 3.20 , -   , -   , -   
Other Liabilities, 155.74 , 153.86 , 218.59 , 272.21 , 192.56 , 136.61 , 73.78 , 72.72 , 97.30 , 69.94 
Total, 418.01 , 602.33 , 713.84 , 809.12 , 776.79 , 732.37 , 707.77 , 695.99 , 780.50 , 797.92 
,,,,,,,,,,
Net Block, 82.32 , 73.95 , 92.94 , 65.43 , 60.32 , 48.24 , 35.54 , 31.47 , 32.28 , 29.57 
Capital Work in Progress, 1.75 , 0.20 , 2.82 , 5.51 , 0.13 , 0.30 , 0.06 , -   , -   , -   
Investments, 4.27 , 134.06 , 157.30 , 13.37 , 21.15 , 59.41 , 139.05 , 147.92 , 219.83 , 142.05 
Other Assets, 329.67 , 394.12 , 460.78 , 724.81 , 695.19 , 624.42 , 533.12 , 516.60 , 528.39 , 626.30 
Total, 418.01 , 602.33 , 713.84 , 809.12 , 776.79 , 732.37 , 707.77 , 695.99 , 780.50 , 797.92 
,,,,,,,,,,
Working Capital, 173.93 , 240.26 , 242.19 , 452.60 , 502.63 , 487.81 , 459.34 , 443.88 , 431.09 , 556.36 
Debtors, 190.85 , 161.49 , 181.98 , 132.56 , 134.12 , 128.95 , 127.89 , 121.56 , 119.62 , 59.38 
Inventory, 8.93 , 20.91 , 14.94 , 31.80 , 10.35 , 5.12 , 4.40 , 2.33 , 2.06 , 1.57 
,,,,,,,,,,
Debtor Days, 136.72 , 129.02 , 128.04 , 127.50 , 132.16 , 176.19 , 243.42 , 209.58 , 275.66 , 112.37 
Inventory Turnover, 57.06 , 21.85 , 34.72 , 11.93 , 35.79 , 52.17 , 43.58 , 90.86 , 76.89 , 122.85 
,,,,,,,,,,
Return on Equity,28%,17%,13%,12%,8%,5%,8%,7%,9%,10%
Return on Capital Emp,,32%,20%,20%,11%,7%,12%,11%,14%,15%
,,,,,,,,,,
