MANGALAM DRUGS AND ORGANICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 13.18 , 13.18 , 13.18 , 13.18 , 13.18 , 13.18 , 13.18 , 14.38 , 15.83 , 15.83 
Reserves, 26.17 , 27.99 , 24.25 , 24.88 , 13.08 , 10.04 , 16.19 , 38.66 , 69.89 , 89.35 
Borrowings, 36.45 , 40.23 , 51.26 , 60.94 , 72.64 , 77.18 , 77.92 , 59.82 , 66.10 , 68.93 
Other Liabilities, 13.58 , 14.29 , 24.56 , 22.94 , 15.88 , 25.04 , 62.61 , 46.91 , 39.32 , 63.50 
Total, 89.38 , 95.69 , 113.25 , 121.94 , 114.78 , 125.44 , 169.90 , 159.77 , 191.14 , 237.61 
,,,,,,,,,,
Net Block, 43.54 , 45.98 , 54.27 , 56.84 , 55.13 , 53.38 , 52.95 , 54.19 , 92.56 , 101.91 
Capital Work in Progress, -   , 0.54 , 0.20 , 0.15 , -   , -   , -   , 4.93 , -   , 0.07 
Investments, 0.14 , 0.14 , 0.14 , 0.14 , 0.18 , 0.18 , 0.24 , 0.24 , 1.64 , 1.66 
Other Assets, 45.70 , 49.03 , 58.64 , 64.81 , 59.47 , 71.88 , 116.71 , 100.41 , 96.94 , 133.97 
Total, 89.38 , 95.69 , 113.25 , 121.94 , 114.78 , 125.44 , 169.90 , 159.77 , 191.14 , 237.61 
,,,,,,,,,,
Working Capital, 32.12 , 34.74 , 34.08 , 41.87 , 43.59 , 46.84 , 54.10 , 53.50 , 57.62 , 70.47 
Debtors, 24.72 , 21.99 , 21.77 , 8.91 , 23.87 , 29.69 , 44.25 , 30.14 , 36.82 , 45.21 
Inventory, 17.70 , 23.86 , 33.27 , 48.98 , 31.06 , 36.48 , 57.34 , 47.34 , 37.25 , 67.94 
,,,,,,,,,,
Debtor Days, 91.90 , 73.18 , 62.84 , 21.23 , 70.12 , 88.45 , 73.22 , 37.29 , 45.02 , 59.23 
Inventory Turnover, 5.55 , 4.60 , 3.80 , 3.13 , 4.00 , 3.36 , 3.85 , 6.23 , 8.01 , 4.10 
,,,,,,,,,,
Return on Equity,2%,3%,6%,2%,-45%,-13%,21%,30%,26%,19%
Return on Capital Emp,,10%,12%,12%,-7%,6%,16%,30%,31%,25%
,,,,,,,,,,
