MANGALAM TIMBER PRODUCTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 1.87 , 10.24 , (0.08), 3.16 , 3.40 , (0.88), (2.69), 8.03 , 8.45 , (8.41)
Cash from Investing Activity, (4.54), (4.15), (2.55), (1.51), (1.30), (0.72), (0.50), (7.03), (6.03), (1.70)
Cash from Financing Activity, 2.78 , (6.67), 2.67 , (2.04), (2.11), 1.60 , 3.21 , (1.11), (2.42), 10.11 
Net Cash Flow, 0.11 , (0.58), 0.04 , (0.39), (0.01), -   , 0.02 , (0.10), -   , (0.01)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
