MANGALAM TIMBER PRODUCTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 70.96 , 67.51 , 51.10 , 76.15 , 80.76 , 55.96 , 39.58 , 38.54 , 32.46 , 22.79 , 11.27 , 18.96 , 19.43 
Expenses, 63.37 , 63.89 , 50.86 , 73.58 , 80.49 , 65.78 , 54.49 , 55.61 , 43.58 , 28.40 , 22.87 , 18.96 , 19.43 
Operating Profit, 7.59 , 3.62 , 0.24 , 2.57 , 0.27 , (9.82), (14.91), (17.07), (11.12), (5.61), (11.60), -   , -   
Other Income, 0.61 , 0.65 , 0.57 , 0.38 , 0.55 , 3.91 , 4.33 , 1.58 , 0.77 , 2.20 , 2.12 , -   , -   
Depreciation, 1.10 , 1.13 , 1.53 , 1.67 , 1.71 , 1.85 , 1.61 , 1.38 , 1.44 , 1.55 , 1.49 , 1.49 , 1.49 
Interest, 4.16 , 4.55 , 4.84 , 5.78 , 4.46 , 2.80 , 3.58 , 3.48 , 7.23 , 8.57 , 9.72 , 9.72 , 9.72 
Profit before tax, 2.94 , (1.41), (5.56), (4.50), (5.35), (10.56), (15.77), (20.36), (19.01), (13.53), (20.69), (11.21), (11.21)
Tax, 1.45 , (0.18), (1.88), (1.01), (1.81), (2.94), (5.69), (7.70), (5.29), (4.20), (6.38),0%,0%
Net profit, 1.49 , (1.23), (3.68), (3.49), (3.55), (7.62), (10.08), (12.65), (13.72), (9.34), (14.29), (11.21), (11.21)
EPS, 0.81 , (0.67), (2.01), (1.90), (1.94), (4.16), (5.50), (6.90), (7.49), (5.10), (7.80), (6.12), (6.12)
Price to earning, 20.36 , (46.95), (9.19), (13.60), (6.61), (2.30), (1.90), (2.62), (4.12), (5.36), -   , -   , -   
Price, 16.55 , 31.51 , 18.45 , 25.89 , 12.80 , 9.56 , 10.44 , 18.06 , 30.85 , 27.34 , 15.50 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,73.83%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,10.70%,5.36%,0.47%,3.37%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-11.86%,-10.89%,-22.36%,-16.81%,-29.79%,-16.81%,-29.79%
,,,,,,OPM,2.67%,0.82%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 20.36 ,  ,  ,  , -   , -   , -   
