MARAL OVERSEAS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 29.01 , 12.41 , 12.38 , 75.89 , 38.31 , 61.36 , 85.16 , 25.20 , 43.53 , 67.58 
Cash from Investing Activity, (3.50), (0.36), (6.82), (5.33), (5.62), (24.22), (45.49), (13.77), (21.92), (25.69)
Cash from Financing Activity, (20.82), (15.29), (5.95), (71.38), (30.82), (37.90), (36.04), (14.58), (23.93), (41.12)
Net Cash Flow, 4.69 , (3.24), (0.39), (0.82), 1.87 , (0.76), 3.62 , (3.16), (2.32), 0.77 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
