3I INFOTECH LTD,,,,,,,,,SCREENER.IN,,
,,,,,,,,,,,
Narration,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,
Sales, 	68.58 , 	66.99 , 	55.38 , 	57.72 , 	58.12 , 	66.29 , 	58.70 , 	75.67 , 	74.27 , 	75.28 ,
Expenses, 	31.70 , 	57.45 , 	35.26 , 	188.73 , 	54.40 , 	47.15 , 	55.43 , 	39.83 , 	83.01 , 	48.69 ,
Operating Profit, 	36.88 , 	9.54 , 	20.12 , 	-131.01 , 	3.72 , 	19.14 , 	3.27 , 	35.84 , 	-8.74 , 	26.59 ,
Other Income, 	36.17 , 	9.86 , 	11.37 , 	15.18 , 	8.25 , 	21.68 , 	49.15 , 	55.20 , 	131.56 , 	7.02 ,
Depreciation, 	1.76 , 	1.71 , 	1.78 , 	2.05 , 	1.70 , 	1.63 , 	1.66 , 	1.68 , 	1.70 , 	1.78 ,
Interest, 	14.50 , 	13.34 , 	12.01 , 	12.21 , 	12.37 , 	11.44 , 	11.22 , 	10.75 , 	10.87 , 	9.33 ,
Profit before tax, 	56.79 , 	4.35 , 	17.70 , 	-130.09 , 	-2.10 , 	27.75 , 	39.54 , 	78.61 , 	110.25 , 	22.50 ,
Tax, 	-   , 	-1.37 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,
Net profit, 	56.79 , 	5.72 , 	17.70 , 	-130.09 , 	-2.10 , 	27.75 , 	39.54 , 	78.61 , 	110.25 , 	22.50 ,
,,,,,,,,,,,
OPM,54%,14%,36%,-227%,6%,29%,6%,47%,-12%,35%,
